date,ltp,ltq,bid,ask
2022-08-15 08:18:56,1.020645,0,1.02057,1.02072
2022-08-15 08:18:57,1.020645,0,1.02057,1.02072
2022-08-15 08:18:58,1.020665,0,1.02059,1.02074
2022-08-15 08:18:59,1.020665,0,1.02059,1.02074
2022-08-15 08:19:00,1.020675,1,1.0206,1.02075
2022-08-15 08:19:01,1.020675,0,1.0206,1.02075
2022-08-15 08:19:02,1.020675,0,1.0206,1.02075
2022-08-15 08:19:03,1.020655,1,1.02058,1.02073
2022-08-15 08:19:04,1.020665,0,1.02059,1.02074
2022-08-15 08:19:05,1.020675,0,1.0206,1.02075
2022-08-15 08:19:06,1.020665,0,1.02059,1.02074
2022-08-15 08:19:07,1.020625,8,1.02055,1.0207
2022-08-15 08:19:08,1.020625,2,1.02055,1.0207
2022-08-15 08:19:09,1.020625,0,1.02055,1.0207
2022-08-15 08:19:10,1.020645,0,1.02057,1.02072
2022-08-15 08:19:11,1.020645,8,1.02057,1.02072
2022-08-15 08:19:12,1.020705,9,1.02063,1.02078
2022-08-15 08:19:13,1.020735,6,1.02066,1.02081
2022-08-15 08:19:14,1.020855,13,1.02078,1.02093
2022-08-15 08:19:15,1.020835,0,1.02076,1.02091
2022-08-15 08:19:16,1.020665,17,1.02059,1.02074
2022-08-15 08:19:17,1.020685,0,1.02061,1.02076
2022-08-15 08:19:18,1.020705,0,1.02063,1.02078
2022-08-15 08:19:19,1.020715,12,1.02064,1.02079
2022-08-15 08:19:20,1.020735,2,1.02066,1.02081
2022-08-15 08:19:21,1.020755,0,1.02068,1.02083
2022-08-15 08:19:22,1.020735,0,1.02066,1.02081
2022-08-15 08:19:23,1.020725,1,1.02065,1.0208
2022-08-15 08:19:24,1.020725,0,1.02065,1.0208
2022-08-15 08:19:25,1.020735,2,1.02066,1.02081
2022-08-15 08:19:26,1.020715,0,1.02064,1.02079
2022-08-15 08:19:27,1.020735,0,1.02066,1.02081
2022-08-15 08:19:28,1.020715,3,1.02064,1.02079
2022-08-15 08:19:29,1.020735,1,1.02066,1.02081
2022-08-15 08:19:30,1.020735,0,1.02066,1.02081
2022-08-15 08:19:31,1.020735,3,1.02066,1.02081
2022-08-15 08:19:32,1.020575,0,1.0205,1.02065
2022-08-15 08:19:33,1.020575,6,1.0205,1.02065
2022-08-15 08:19:34,1.020575,0,1.0205,1.02065
2022-08-15 08:19:35,1.020585,0,1.02051,1.02066
2022-08-15 08:19:36,1.020585,3,1.02051,1.02066
2022-08-15 08:19:37,1.020565,1,1.02049,1.02064
2022-08-15 08:19:38,1.020585,2,1.02051,1.02066
2022-08-15 08:19:39,1.020575,1,1.0205,1.02065
2022-08-15 08:19:40,1.020575,0,1.0205,1.02065
2022-08-15 08:19:41,1.020585,3,1.02051,1.02066
2022-08-15 08:19:42,1.02058,0,1.02051,1.02065
